"Ano";"Favorito ";"Azar";"CF_(x)";"V/D"
2018;"Espanha";"Marrocos";"0.41";0
2018;"Portugal";"Ira";"0.67";0
2018;"Peru";"Australia";"1.55";1
2018;"Franca";"Dinamarca";"1.10";0
2018;"Croacia";"Islandia";"0.91";1
2018;"Argentina";"Nigeria";"0.52";1
2018;"Alemanha";"Coreia do Sul";"0.20";0
2018;"Mexico";"Suecia";"1.30";0
2018;"Brasil";"Servia";"0.52";1
2018;"Suica";"Costa Rica";"0.65";0
2018;"Polonia";"Japao";"2.06";1
2018;"Colombia";"Senegal";"0.85";1
2018;"Inglaterra";"Belgica";"1.67";0
2018;"Tunisia";"Panama";"0.92";1
2018;"Franca";"Argentina";"1.55";1
2018;"Portugal";"Uruguai";"1.80";0
2018;"Espanha";"Russia";"0.63";0
2018;"Croacia";"Dinamarca";"1.05";1
2018;"Brasil";"Mexico";"0.53";1
2018;"Belgica";"Japao";"0.48";1
2018;"Suica";"Suecia";"1.65";0
2018;"Inglaterra";"Colombia";"1.20";1
2018;"Franca";"Uruguai";"1.10";1
2018;"Brasil";"Belgica";"1.17";0
2018;"Inglaterra";"Suecia";"0.88";1
2018;"Croacia";"Russia";"1.20";1
2018;"Franca";"Belgica";"1.70";1
2018;"Inglaterra";"Croacia";"1.35";0
2018;"Belgica";"Inglaterra";"1.30";1
2018;"Franca";"Croacia";"1.20";1
